trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1083,200934209140,0.8545,0.228,0.6161,0.8323,0.2943,0.1049
1084,200934406085,0.9606,0.7823,0.638,0.9517,0.2559,0.9161
1085,200934607086,0.1383,0.0952,0.0631,0.0975,0.1332,0.0656
1086,200934607086,0.9937,0.1406,1.0,0.5416,0.1502,0.1009
1087,200934607086,0.145,0.0472,0.0864,0.11,0.0144,0.0857
1088,200934610172,0.1218,0.0593,0.0654,0.0894,0.0057,0.3335
1089,201000209096,0.0389,0.1021,0.0649,0.1131,0.131,0.0603
1090,201000209096,0.3621,0.4937,0.8753,0.1597,0.7336,0.0737
1091,201001911123,0.4208,0.1973,0.0098,0.6619,0.2476,0.092
1092,201002014147,1.0,0.8585,1.0,0.9168,0.8166,0.7379
1093,201002212160,0.0645,0.9303,0.0911,0.1364,0.8712,0.8857
1094,201002714184,0.0994,0.3202,0.0504,0.2039,0.1694,0.7054
1095,201002717058,0.1428,0.0524,0.0462,0.1288,0.1057,0.0254
1096,201002912177,0.1679,0.1393,0.0803,0.1257,0.2598,0.0804
1097,201002912177,0.2095,0.9844,0.1088,0.1928,0.9817,0.9406
1098,201003808194,0.1325,0.0234,0.05,0.1051,0.0192,0.0237
1099,201004011185,0.1119,0.0363,0.7609,0.0268,0.0367,0.0406
1100,201004610058,0.8653,0.2358,0.9491,0.386,0.2017,0.2509
1101,201005106195,0.7041,0.4435,0.5264,0.712,0.3638,0.5272
1102,201005106195,0.9928,0.2267,0.9981,0.771,0.2956,0.0679
1103,201006619050,0.7748,0.206,0.8949,0.6064,0.238,0.1612
1104,201006725317,0.3044,0.7862,0.7567,0.2178,0.7838,0.7214
1105,201006912188,0.1043,0.1835,0.0304,0.0921,0.2646,0.1317
1106,201007015168,0.6822,0.257,0.0355,0.8046,0.2987,0.1375
1107,201007015168,0.248,0.0917,0.0831,0.7008,0.059,0.129
1108,201007803153,0.1083,0.0826,0.0565,0.0801,0.11,0.0679
1109,201008006089,0.7064,0.0896,0.1023,0.6588,0.1205,0.0469
1110,201008409138,0.9888,0.376,0.9916,0.9459,0.3428,0.692
1111,201009109093,0.9221,0.3695,0.9771,0.2661,0.2651,0.6482
1112,201011010118,0.0246,0.2341,0.0546,0.2241,0.3725,0.1964
1113,201013609057,0.9996,0.2298,0.9995,0.9911,0.2777,0.1603
1114,201013710090,0.2936,0.2886,0.0383,0.5908,0.0878,0.5902
1115,201014320035,0.0913,0.109,0.0238,0.0787,0.11,0.0884
1116,201015114065,0.4409,0.4362,0.0206,0.6744,0.0908,0.7924
1117,201016615255,0.9552,0.2306,0.9785,0.2276,0.1594,0.329
1118,201016913266,0.2028,0.4435,0.092,0.2388,0.1092,0.8969
1119,201016913266,0.944,0.267,0.8305,0.8985,0.3118,0.1964
1121,201017616278,0.1043,0.1056,0.0514,0.0769,0.0974,0.1138
1122,201019112138,0.1688,0.1527,0.0864,0.131,0.3672,0.0085
1123,201019514257,0.1791,0.4046,0.0906,0.1547,0.0114,0.7804
1124,201019815123,0.0636,0.1411,0.0434,0.1659,0.1249,0.1411
1125,201020322286,0.1911,0.1116,0.1032,0.1655,0.1672,0.1138
1126,201021513319,0.1607,0.8598,0.0687,0.131,0.8502,0.5652
1127,201021715265,0.0725,0.7339,0.0855,0.1538,0.0777,0.8754
1128,201021820127,0.1231,0.749,0.0617,0.0894,0.8114,0.1312
1129,201022226277,0.9566,0.1484,0.9734,0.7956,0.1153,0.192
1130,201023317119,0.1611,0.0831,0.0794,0.1315,0.1437,0.0179
1131,201023411329,0.1589,0.0974,0.0897,0.1118,0.1712,0.1491
1132,201023411329,0.1773,0.9515,0.0518,0.1798,0.9511,0.7719
1133,201023414267,0.1289,0.1536,0.0747,0.0854,0.1052,0.2451
1134,201023612341,0.2359,0.8447,0.1154,0.2504,0.7847,0.8147
