rule_id,feature,feature_role,feature_nodes,n_neighbor_pairs,mean_positive_value,mean_counterexample_value,mean_raw_difference,mean_absolute_robust_standardized_difference
R00005,acceleration_iqr,antecedent_and_target,Acceleration;Kinematic,42,0.00014291068626748378,0.00015986531657535748,-1.69546303078737e-05,1.3317874913525334
R00005,acceleration_quant_max,antecedent_and_target,Acceleration;Kinematic,42,0.0006209800076408681,0.0006502613146264026,-2.9281306985534652e-05,1.323172081523443
R00005,speed_quant_90,target,Kinematic,42,10.43253059703155,13.49292134329866,-3.060390746267111,1.2826452625383513
R00005,speed_quant_95,target,Kinematic,42,11.252045218753882,15.180781339074112,-3.92873612032023,1.2777258060295282
R00005,acceleration_mad,antecedent_and_target,Acceleration;Kinematic,42,7.223384898942401e-05,8.039901683475095e-05,-8.16516784532695e-06,1.2604530992369145
R00005,acceleration_quant_95,antecedent_and_target,Acceleration;Kinematic,42,0.0002220492665504862,0.00023507050440453773,-1.302123785405147e-05,1.2499719819533932
R00005,angles_kurt,antecedent_and_target,Indentation;Geometric,42,3.702901277683638,6.818216190508663,-3.1153149128250264,1.2266205735892501
R00005,relative_transition_entropy_3x3,antecedent,SpatioTemporal_Dynamics,42,2.4265494508872654,2.1094577096878786,0.3170917411993871,1.1898183352505778
R00005,distance_geometry_5_2,antecedent_and_target,Geometric,42,0.9644548862842997,0.93893490138834,0.02551998489595945,1.152063078943233
R00005,speed_range,target,Kinematic,42,10.29663108784934,14.755506973932283,-4.458875886082945,1.1344649599943963
R00005,acceleration_quant_75,antecedent_and_target,Acceleration;Kinematic,42,7.726369114919557e-05,9.944015795654923e-05,-2.2176466807353672e-05,1.128296041728992
R00005,speed_vcoef,target,Kinematic,42,0.39985026196326695,0.6169151419483285,-0.21706487998506166,1.1221101542695915
R00005,acceleration_quant_90,antecedent_and_target,Acceleration;Kinematic,42,0.00015714924283773826,0.00016398596379303546,-6.836720955297208e-06,1.121611187766053
R00005,speed_quant_25,target,Kinematic,42,4.763177215330053,3.7013200932425043,1.06185712208755,1.1057048003240944
R00005,speed_quant_max,target,Kinematic,42,13.031856848145791,16.43538742785045,-3.403530579704662,1.1035710871147526
R00005,speed_quant_median,target,Kinematic,42,6.173036681389142,5.465597767859274,0.7074389135298687,1.070022573043622
R00005,distance_geometry_4_4,antecedent_and_target,Geometric,42,0.9388501385631882,0.9519280606226603,-0.013077922059472199,1.0562730633366146
R00005,speed_quant_min,target,Kinematic,42,2.7352257602964523,1.6798804539181693,1.0553453063782834,1.019016848960152
R00005,distance_geometry_4_3,antecedent_and_target,Geometric,42,0.9606351249221456,0.9395057567081532,0.02112936821399233,1.017353785230093
R00005,distance_geometry_4_2,antecedent_and_target,Geometric,42,0.9707393935618092,0.9159829548383639,0.05475643872344517,1.0107870387456543
R00005,angle_progress_slope,antecedent,SpatioTemporal_Dynamics,42,-0.07606318409422605,-2.8250110599491567,2.74894787585493,0.9946014676651426
R00005,speed_mean,target,Kinematic,42,6.643869361371804,7.134584412409753,-0.49071505103794927,0.9767313916852493
R00005,speed_quant_10,target,Kinematic,42,3.7444763318859473,2.7784241085342223,0.9660522233517245,0.9537609164579243
R00005,angles_mad,antecedent_and_target,Indentation;Geometric,42,4.049914853100803,6.788904983184911,-2.7389901300841077,0.9435696898409418
R00005,distance_geometry_5_4,antecedent_and_target,Geometric,42,0.9708672877869575,0.9608016530060572,0.010065634780900022,0.933213081727288
R00005,speed_kurt,target,Kinematic,42,-0.025151714104617945,-0.6736459351980889,0.648494221093471,0.9170442064221204
R00005,speed_quant_05,target,Kinematic,42,3.3426946183069965,2.1957388867065255,1.1469557316004715,0.9119972076965674
R00005,angles_quant_75,antecedent_and_target,Indentation;Geometric,42,10.050591251810289,15.079925803822906,-5.029334552012616,0.8914935016820701
R00005,angles_skew,antecedent_and_target,Indentation;Geometric,42,1.6986933897782546,2.010609925890185,-0.3119165361119308,0.8729787416201398
R00005,acceleration_skew,antecedent_and_target,Acceleration;Kinematic,42,1.0754601220647584,0.3820465189150415,0.6934136031497168,0.871199712358503
R00005,relative_grid_revisit_ratio_3x3,antecedent,SpatioTemporal_Dynamics,42,0.9039115646258502,0.9132653061224489,-0.009353741496598627,0.8571428571428595
R00005,relative_grid_unique_cells_3x3,antecedent,SpatioTemporal_Dynamics,42,5.380952380952381,4.857142857142857,0.5238095238095238,0.8571428571428571
R00005,acceleration_kurt,antecedent_and_target,Acceleration;Kinematic,42,6.108444487248486,5.004589018010281,1.1038554692382054,0.840515390352216
R00005,angles_quant_90,antecedent_and_target,Indentation;Geometric,42,16.606875684794993,27.68046770487855,-11.073592020083558,0.8260458575745121
R00005,angles_iqr,antecedent_and_target,Indentation;Geometric,42,8.647546432707564,13.288693581848568,-4.641147149141004,0.8003950065044458
R00005,angles_range,antecedent_and_target,Indentation;Geometric,42,46.133417197092484,67.12385387978333,-20.99043668269085,0.7897984580761547
R00005,angles_quant_max,antecedent_and_target,Indentation;Geometric,42,46.1971432778672,67.16016718015644,-20.96302390228924,0.7890074870716126
R00005,speed_skew,target,Kinematic,42,0.5219319127557701,0.592112198367465,-0.0701802856116949,0.7801526029355683
R00005,angles_quant_95,antecedent_and_target,Indentation;Geometric,42,23.483006980525413,30.98515867204741,-7.502151691521993,0.7767181071346462
