trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1701,316030644,0.2299,0.7308,0.1647,0.7063,0.0235,0.9366
1702,316030644,0.2353,0.8615,0.165,0.7122,0.0136,0.949
1703,316030941,0.2873,0.0874,0.1581,0.4382,0.1353,0.0639
1704,316030941,0.9096,0.0485,0.9493,0.0727,0.4529,0.0293
1705,316030941,0.1954,0.0801,0.1677,0.0797,0.1123,0.0725
1706,316030941,0.1654,0.0809,0.1496,0.0352,0.1212,0.0644
1707,316030941,0.1341,0.0952,0.1384,0.0291,0.1573,0.0432
1708,316031352,0.7823,0.1787,0.8907,0.4767,0.6064,0.0916
1709,316031352,0.9759,0.0,0.9877,0.3911,0.0069,0.0115
1710,316031352,0.8422,0.1907,0.8854,0.7028,0.5977,0.1872
1711,316031352,0.8958,0.5541,0.8682,0.8648,0.6985,0.1346
1712,316031352,0.8003,0.0644,0.8879,0.403,0.0711,0.0568
1713,316031352,0.8214,0.0477,0.8452,0.3719,0.0279,0.0694
1714,316031352,0.2658,0.0681,0.2118,0.3884,0.0238,0.0851
1715,316031481,0.1364,0.0279,0.1269,0.0522,0.0437,0.0312
1716,316031481,0.1913,0.0822,0.2105,0.1628,0.0082,0.1971
