trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
599,264,0.876,0.9278,0.9101,0.6871,0.9044,0.9811
600,264,0.7788,0.8103,0.2116,0.8934,0.6212,0.9985
601,264,0.9718,0.0885,0.9531,0.8587,0.0542,0.7278
602,264,0.8731,1.0,0.1368,0.9569,1.0,1.0
603,264,0.9191,1.0,0.2577,0.9743,1.0,1.0
604,264,0.8493,1.0,0.2373,0.9161,1.0,1.0
605,264,0.8671,1.0,0.6848,0.8337,1.0,1.0
606,264,0.9993,1.0,1.0,0.6735,1.0,1.0
607,264,1.0,1.0,1.0,0.9932,1.0,1.0
608,272,0.0319,0.1295,0.0522,0.0416,0.1273,0.0866
609,272,0.0965,0.1793,0.0529,0.381,0.2221,0.1201
610,272,0.8456,0.4732,0.8776,0.619,0.6122,0.0466
611,272,0.2821,0.5714,0.1716,0.3643,0.2289,0.9345
612,272,0.1032,0.1354,0.1776,0.0567,0.1355,0.1084
613,272,0.7684,0.1012,0.9055,0.1277,0.122,0.0066
614,272,0.9948,0.7805,0.9977,0.0265,0.7809,0.7191
615,272,0.069,0.0595,0.0219,0.1912,0.061,0.0459
616,272,0.1663,0.2076,0.0718,0.3379,0.2252,0.1434
617,272,0.2858,0.1667,0.4535,0.2252,0.137,0.6004
618,272,0.3519,0.5089,0.675,0.0884,0.5505,0.2176
619,272,0.9941,0.2054,0.8473,0.9811,0.1935,0.3064
620,273,0.2836,0.6205,0.1172,0.6009,0.5836,0.8282
621,273,0.0987,0.689,0.0794,0.2449,0.7221,0.3086
